,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
10337,30-39,3,Married,Less than 20,1,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
9112,30-39,3,Married,More than 50,4,Associate Degree,7,private,Repair/Maintenance,White alone,Male,low
6928,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Management/Business,White alone,Male,high
6691,30-39,3,Separated,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Management/Business,Black or African American alone,Male,high
18237,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
20484,60-69,6,Married,40-49,3,Associate Degree,7,private,Office/Administrative Support,White alone,Male,low
15245,50-59,5,Widowed,20-39,2,High School or GED Diploma,5,private,Transport,White alone,Male,low
4565,Younger than 25,1,Married,20-39,2,"Started College, No Diploma",6,private,Protective Services,White alone,Male,low
1047,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
12125,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
13583,60-69,6,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
20001,50-59,5,Married,40-49,3,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
16535,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Management/Business,White alone,Male,high
7068,30-39,3,Separated,40-49,3,Bachelor Degree,8,governmental,"Science, Engineering, Technology",White alone,Male,high
9386,30-39,3,Married,20-39,2,Doctorate Degree,10,private,"Science, Engineering, Technology",Other,Male,low
4223,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Female,low
9209,25-29,2,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,low
1158,Younger than 25,1,Never married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
18368,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Female,low
11487,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
15930,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,Black or African American alone,Male,high
5219,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Female,low
18498,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
10836,30-39,3,Married,20-39,2,Associate Degree,7,private,Office/Administrative Support,Other,Female,low
8952,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Healthcare/Medical Services,White alone,Female,low
5823,40-49,4,Married,40-49,3,"Started High School, No Diploma",4,private,Service/Hospitality,Black or African American alone,Male,low
2519,60-69,6,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
8610,40-49,4,Separated,40-49,3,Associate Degree,7,private,Finance/Accounting,White alone,Female,low
21544,50-59,5,Married,40-49,3,Associate Degree,7,governmental,Healthcare/Medical Services,White alone,Female,low
8786,60-69,6,Married,40-49,3,Associate Degree,7,governmental,Office/Administrative Support,Black or African American alone,Female,low
7213,30-39,3,Married,40-49,3,Associate Degree,7,governmental,Office/Administrative Support,Black or African American alone,Female,low
17167,50-59,5,Married,40-49,3,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
7851,30-39,3,Separated,20-39,2,"Started College, No Diploma",6,private,Sales,Black or African American alone,Female,low
1252,50-59,5,Separated,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
7780,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Transport,White alone,Male,low
7622,40-49,4,Never married,20-39,2,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
12755,40-49,4,Married,20-39,2,Master or other Degree Beyond Bachelor,9,self employed,Healthcare/Medical Services,White alone,Male,high
16682,50-59,5,Married,20-39,2,"Started College, No Diploma",6,no paid work,Office/Administrative Support,White alone,Female,low
8075,60-69,6,Separated,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
4517,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,high
9845,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,governmental,Military Services,White alone,Male,low
11675,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
8931,30-39,3,Married,20-39,2,Associate Degree,7,private,Education,White alone,Female,low
7810,Younger than 25,1,Separated,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
18009,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Male,low
15570,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,Black or African American alone,Female,low
11464,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
14948,60-69,6,Married,Less than 20,1,Bachelor Degree,8,private,Sales,Black or African American alone,Male,low
20670,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
10724,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,high
16417,Younger than 25,1,Never married,40-49,3,"Started High School, No Diploma",4,private,Sales,Black or African American alone,Female,low
12418,40-49,4,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Finance/Accounting,White alone,Female,high
19846,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
16659,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,high
9953,25-29,2,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
10128,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
6180,40-49,4,Married,40-49,3,Associate Degree,7,private,Education,White alone,Female,low
8470,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
22072,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
21415,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
16031,40-49,4,Married,More than 50,4,Associate Degree,7,private,Transport,White alone,Male,high
6890,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,governmental,Education,Black or African American alone,Female,low
15018,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Protective Services,White alone,Male,low
4307,50-59,5,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Female,high
5753,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Male,high
10010,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,Black or African American alone,Male,high
8449,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
19285,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
4518,40-49,4,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Sales,White alone,Female,high
18399,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
8460,30-39,3,Never married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
18430,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
18757,40-49,4,Married,40-49,3,Bachelor Degree,8,governmental,Construction/Extraction,White alone,Male,high
5247,25-29,2,Separated,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,Other,Female,low
6046,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
18304,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Entertainment,White alone,Male,high
16285,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Female,low
2142,25-29,2,Married,More than 50,4,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
3123,30-39,3,Married,40-49,3,Middle School,3,private,Construction/Extraction,Other,Male,low
18968,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
13904,40-49,4,Married,20-39,2,Bachelor Degree,8,private,Education,Black or African American alone,Female,low
4431,60-69,6,Separated,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Healthcare/Medical Services,Black or African American alone,Female,low
2517,30-39,3,Married,40-49,3,Bachelor Degree,8,governmental,Healthcare/Medical Services,White alone,Female,low
19784,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
11857,50-59,5,Married,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Female,low
7257,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
21440,60-69,6,Married,Less than 20,1,Bachelor Degree,8,self employed,Office/Administrative Support,White alone,Female,low
1071,30-39,3,Separated,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Female,low
9734,60-69,6,Widowed,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Female,low
885,30-39,3,Married,20-39,2,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
5566,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
17308,Younger than 25,1,Married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
1363,50-59,5,Married,40-49,3,Associate Degree,7,governmental,Management/Business,White alone,Female,low
16767,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Construction/Extraction,White alone,Male,low
7442,40-49,4,Widowed,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Female,low
21884,60-69,6,Married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Female,low
17259,60-69,6,Married,Less than 20,1,High School or GED Diploma,5,self employed,Service/Hospitality,White alone,Female,low
11493,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
14343,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Transport,White alone,Male,high
6941,50-59,5,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
18031,40-49,4,Married,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Female,low
9424,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Transport,White alone,Male,high
12169,25-29,2,Married,40-49,3,"Started High School, No Diploma",4,private,Sales,Black or African American alone,Female,low
9425,30-39,3,Never married,20-39,2,"Started High School, No Diploma",4,governmental,Office/Administrative Support,Other,Male,low
9231,50-59,5,Married,40-49,3,Bachelor Degree,8,governmental,Counseling/Mental Health Services,White alone,Female,low
7803,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,low
680,30-39,3,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
18391,25-29,2,Married,40-49,3,Bachelor Degree,8,governmental,Education,Black or African American alone,Male,low
14695,60-69,6,Married,40-49,3,Bachelor Degree,8,self employed,Management/Business,White alone,Male,high
6468,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
8122,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,high
4782,Older than 70,7,Married,Less than 20,1,Bachelor Degree,8,private,Office/Administrative Support,White alone,Male,high
11865,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
15373,40-49,4,Married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Female,low
21350,25-29,2,Never married,More than 50,4,Bachelor Degree,8,private,Service/Hospitality,White alone,Male,low
20084,60-69,6,Married,40-49,3,"Started College, No Diploma",6,governmental,Education,White alone,Female,low
8276,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Education,White alone,Female,low
2573,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,Sales,White alone,Male,high
13571,30-39,3,Never married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Male,low
12666,25-29,2,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,low
22208,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
13698,30-39,3,Never married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Female,low
14681,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Sales,Black or African American alone,Female,low
3324,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
14868,60-69,6,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,high
8186,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Female,low
12806,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Transport,Other,Male,low
7171,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Sales,White alone,Male,low
4570,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
10480,Older than 70,7,Widowed,40-49,3,High School or GED Diploma,5,private,Education,White alone,Female,high
16192,Older than 70,7,Separated,More than 50,4,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,low
2402,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Service/Hospitality,White alone,Male,high
3313,25-29,2,Never married,20-39,2,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
19830,25-29,2,Never married,40-49,3,Doctorate Degree,10,private,Healthcare/Medical Services,White alone,Female,high
20168,60-69,6,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
13709,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
5706,60-69,6,Separated,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
17072,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Management/Business,White alone,Male,high
16523,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
15401,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,high
18671,30-39,3,Married,Less than 20,1,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,White alone,Female,high
4990,Older than 70,7,Separated,20-39,2,"Started High School, No Diploma",4,private,Healthcare/Medical Services,White alone,Female,low
9537,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
7328,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
20972,25-29,2,Never married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
8083,40-49,4,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
14031,50-59,5,Married,Less than 20,1,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
21886,60-69,6,Widowed,Less than 20,1,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,low
11863,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Female,low
22014,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Female,high
3796,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Transport,White alone,Male,low
14600,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
19396,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,low
9994,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
18339,40-49,4,Never married,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
9580,Younger than 25,1,Never married,More than 50,4,"Started College, No Diploma",6,private,Construction/Extraction,Black or African American alone,Male,high
13699,25-29,2,Never married,More than 50,4,Bachelor Degree,8,private,Production/Assembly,White alone,Male,low
929,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Female,low
12775,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
21226,50-59,5,Separated,20-39,2,Associate Degree,7,private,Office/Administrative Support,Black or African American alone,Female,low
6821,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,governmental,"Science, Engineering, Technology",White alone,Male,low
15304,Younger than 25,1,Married,Less than 20,1,"Started College, No Diploma",6,self employed,Sales,White alone,Male,low
5637,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Sales,Black or African American alone,Female,low
7441,50-59,5,Separated,40-49,3,Associate Degree,7,private,Office/Administrative Support,Black or African American alone,Female,low
9156,50-59,5,Widowed,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Legal Services,White alone,Male,high
10856,25-29,2,Married,40-49,3,High School or GED Diploma,5,governmental,Transport,White alone,Male,low
9195,40-49,4,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
12984,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
13814,Older than 70,7,Married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
19705,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Female,low
590,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Male,low
2522,30-39,3,Married,More than 50,4,Associate Degree,7,private,Sales,White alone,Male,low
15857,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
16997,50-59,5,Married,More than 50,4,Associate Degree,7,self employed,Entertainment,White alone,Female,low
20027,40-49,4,Married,Less than 20,1,"Started College, No Diploma",6,self employed,Sales,White alone,Female,low
2309,Younger than 25,1,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
14184,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Sales,White alone,Male,low
18457,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Female,low
17120,25-29,2,Never married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Male,low
649,30-39,3,Never married,40-49,3,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Male,low
6529,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
9281,30-39,3,Separated,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
6549,60-69,6,Married,20-39,2,Bachelor Degree,8,governmental,Transport,White alone,Male,low
1289,40-49,4,Married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,White alone,Female,low
1411,50-59,5,Married,40-49,3,Associate Degree,7,private,Repair/Maintenance,Black or African American alone,Male,high
6828,50-59,5,Never married,Less than 20,1,Bachelor Degree,8,private,Management/Business,White alone,Female,low
12641,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Male,high
3639,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
18413,30-39,3,Married,20-39,2,"Started High School, No Diploma",4,governmental,Repair/Maintenance,White alone,Male,low
601,30-39,3,Separated,More than 50,4,Associate Degree,7,self employed,Management/Business,White alone,Female,low
22083,Younger than 25,1,Never married,20-39,2,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Female,low
3000,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
15497,60-69,6,Married,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
2875,Younger than 25,1,Married,40-49,3,Bachelor Degree,8,private,Protective Services,White alone,Female,low
9640,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Female,low
13622,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
21688,60-69,6,Separated,20-39,2,Bachelor Degree,8,governmental,Transport,Black or African American alone,Male,high
14092,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Male,high
8860,25-29,2,Never married,40-49,3,"Started High School, No Diploma",4,private,Production/Assembly,Black or African American alone,Male,low
17537,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
16821,50-59,5,Separated,40-49,3,Bachelor Degree,8,governmental,Office/Administrative Support,Black or African American alone,Female,low
2745,Older than 70,7,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
14863,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,high
8189,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,high
21941,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Education,White alone,Female,low
6198,Younger than 25,1,Never married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
17128,60-69,6,Married,40-49,3,Associate Degree,7,private,Sales,White alone,Male,high
5494,40-49,4,Married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,White alone,Female,high
13318,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,Black or African American alone,Male,low
15985,50-59,5,Married,20-39,2,"Started College, No Diploma",6,governmental,Office/Administrative Support,White alone,Female,low
21878,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Education,White alone,Male,high
5256,40-49,4,Married,40-49,3,"Started High School, No Diploma",4,private,Management/Business,White alone,Female,low
2926,25-29,2,Married,40-49,3,High School or GED Diploma,5,private,Transport,Other,Female,low
20146,25-29,2,Married,More than 50,4,Doctorate Degree,10,self employed,Healthcare/Medical Services,White alone,Female,high
20984,Older than 70,7,Widowed,Less than 20,1,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
4098,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Male,high
6611,30-39,3,Married,20-39,2,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
15169,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,Other,Female,high
14162,50-59,5,Separated,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,Black or African American alone,Female,low
21861,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Production/Assembly,White alone,Male,low
7533,40-49,4,Married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Female,low
21552,50-59,5,Married,40-49,3,"Started College, No Diploma",6,governmental,Office/Administrative Support,White alone,Female,high
14028,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Female,low
10822,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
9829,30-39,3,Never married,20-39,2,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
6114,30-39,3,Married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
21569,30-39,3,Married,More than 50,4,Bachelor Degree,8,governmental,Sales,Black or African American alone,Male,high
18176,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Office/Administrative Support,Other,Female,low
16773,30-39,3,Married,40-49,3,No Elementary School,1,private,Repair/Maintenance,Other,Male,low
18614,60-69,6,Married,40-49,3,Associate Degree,7,governmental,Office/Administrative Support,White alone,Female,low
4736,50-59,5,Married,40-49,3,"Started College, No Diploma",6,self employed,Construction/Extraction,White alone,Male,low
18359,60-69,6,Married,40-49,3,High School or GED Diploma,5,governmental,Transport,White alone,Male,high
18625,60-69,6,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Female,high
6123,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Production/Assembly,White alone,Male,low
15876,40-49,4,Married,More than 50,4,Bachelor Degree,8,self employed,Sales,White alone,Male,high
13526,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,high
18694,30-39,3,Separated,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
2582,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,"Science, Engineering, Technology",White alone,Male,high
8644,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Female,high
4185,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Legal Services,White alone,Male,low
252,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Construction/Extraction,White alone,Male,low
8792,60-69,6,Separated,20-39,2,Bachelor Degree,8,private,Sales,White alone,Female,high
17615,40-49,4,Married,40-49,3,Associate Degree,7,private,Sales,White alone,Male,high
11295,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
5399,25-29,2,Married,More than 50,4,High School or GED Diploma,5,private,Transport,White alone,Male,low
4509,Older than 70,7,Married,40-49,3,Associate Degree,7,private,Office/Administrative Support,Black or African American alone,Male,high
20057,50-59,5,Married,Less than 20,1,"Started College, No Diploma",6,self employed,Production/Assembly,White alone,Female,low
13419,Older than 70,7,Never married,Less than 20,1,Doctorate Degree,10,private,Entertainment,White alone,Female,high
18454,Older than 70,7,Married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
19302,50-59,5,Separated,More than 50,4,Bachelor Degree,8,self employed,Office/Administrative Support,Black or African American alone,Female,high
3515,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
14982,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
21524,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
20076,Older than 70,7,Married,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Male,low
22211,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Female,low
3842,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
6240,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
8236,30-39,3,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
6683,60-69,6,Never married,40-49,3,"Started College, No Diploma",6,private,Construction/Extraction,Black or African American alone,Male,low
16820,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Male,low
11854,25-29,2,Never married,20-39,2,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Male,low
7506,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
9432,50-59,5,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Office/Administrative Support,Black or African American alone,Female,low
5434,40-49,4,Separated,More than 50,4,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,high
9645,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
8324,50-59,5,Married,20-39,2,Bachelor Degree,8,self employed,Management/Business,White alone,Male,low
21682,Younger than 25,1,Never married,More than 50,4,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Male,low
2834,30-39,3,Married,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
6544,Younger than 25,1,Married,40-49,3,Associate Degree,7,private,Production/Assembly,White alone,Male,low
11617,25-29,2,Separated,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
5227,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Male,low
